"","Country.Name","Country.Code","Year","Continent","Agricultural.land....of.land.area.","Net.ODA.received....of.GNI.","Access.to.electricity....of.population.","GDP.growth..annual...","GDP.per.capita..current.US..","Mortality.rate..under.5..per.1.000.live.births.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Income.level","Dem.Index","Battle.Deaths","Human.Rights","Hum.Dev","migration_rel"
"194","Aruba","ABW",1992,"America",11.1111111111111,3.1597861229239,NA,5.88235294117648,14046.5037643078,NA,NA,"UM",NA,0,NA,NA,0.208368139517843
"195","Afghanistan","AFG",1992,"Asia",58.2513862083755,NA,NA,NA,NA,165.9,11.460000038147,"L",0,14230,-2.588720681,NA,0.212376047130015
"196","Angola","AGO",1992,"Africa",36.671255314029,9.82239778801824,NA,-5.83828073313141,656.361755960006,222.1,3.77999997138977,"LM",0,8230,-2.400807098,NA,0.011282916208633
"197","Albania","ALB",1992,"Europe",41.1313868613139,66.3841544663753,NA,-7.18711091636951,200.852219772323,37.8,16.3299999237061,"LM",5,0,-0.062245373,0.645,-0.136497282601164
"198","Albania","ALB",1992,"Europe",41.1313868613139,66.3841544663753,NA,-7.18711091636951,200.852219772323,37.8,16.3299999237061,"LM",5,0,-0.062245373,0.61,-0.136497282601164
"199","United Arab Emirates","ARE",1992,"Asia",4.77330329484652,NA,100,3.3449448618412,26420.8727534823,14.9,1.75,"H",-8,0,0.901810652,0.727,0.179320772510572
"200","United Arab Emirates","ARE",1992,"Asia",4.77330329484652,NA,100,3.3449448618412,26420.8727534823,14.9,1.75,"H",-8,0,0.901810652,0.742,0.179320772510572
"201","Argentina","ARG",1992,"America",46.682305997391,0.118794513835919,NA,7.93729155643076,6823.5376160468,27.3,6.3600001335144,"UM",7,0,-0.168166949,0.704,-0.00313158695763822
"202","Argentina","ARG",1992,"America",46.682305997391,0.118794513835919,NA,7.93729155643076,6823.5376160468,27.3,6.3600001335144,"UM",7,0,-0.168166949,0.72,-0.00313158695763822
"203","Armenia","ARM",1992,"Asia",41.0958904109589,2.11134129483564,NA,-41.8000027457562,369.632616583198,44.7,1.79999995231628,"LM",7,85,0.197174325,0.631,-0.144151722266969
"204","Armenia","ARM",1992,"Asia",41.0958904109589,2.11134129483564,NA,-41.8000027457562,369.632616583198,44.7,1.79999995231628,"LM",7,85,0.197174325,0.58,-0.144151722266969
"205","Antigua and Barbuda","ATG",1992,"America",20.4545454545455,0.994432017255565,NA,1.15847519142061,7744.28008688374,14.6,NA,"UM",NA,0,1.229202738,NA,0.0346047059918413
"206","Australia","AUS",1992,"Oceania",60.6594379287453,NA,100,0.41218470060933,18570.1204617916,8.2,10.7299995422363,"H",10,0,1.309809978,0.866,0.020067333523864
"207","Australia","AUS",1992,"Oceania",60.6594379287453,NA,100,0.41218470060933,18570.1204617916,8.2,10.7299995422363,"H",10,0,1.309809978,0.868,0.020067333523864
"208","Austria","AUT",1992,"Europe",36.4858319205619,NA,100,2.09352461709183,24880.1641180361,8.6,3.58999991416931,"H",10,0,1.373081449,0.795,0.0290587241536448
"209","Austria","AUT",1992,"Europe",36.4858319205619,NA,100,2.09352461709183,24880.1641180361,8.6,3.58999991416931,"H",10,0,1.373081449,0.805,0.0290587241536448
"210","Azerbaijan","AZE",1992,"Asia",53.4289868656645,NA,NA,-22.6000000456313,676.15151145252,95.7,1.79999995231628,"LM",1,2117,-1.643107797,NA,-0.015594147927391
"211","Burundi","BDI",1992,"Africa",82.5545171339564,28.9214395697785,NA,1.00999837099631,190.489013951092,177.7,1.78999996185303,"L",-3,333,-1.966429635,0.297,-0.056283060698453
"212","Burundi","BDI",1992,"Africa",82.5545171339564,28.9214395697785,NA,1.00999837099631,190.489013951092,177.7,1.78999996185303,"L",-3,333,-1.966429635,0.297,-0.056283060698453
